Text,Confidence
Affix,0.994
patient,0.996
identification,0.993
label,0.997
here,0.989
Attach,0.997
ADR,0.998
sticker,0.997
URN,0.994
358,0.956
Family,0.997
name:,0.997
Knox,0.662
See,0.995
front,0.997
page,0.989
for,0.998
details,0.996
Not,0.998
a,0.998
valid,0.968
Given,0.998
names:,0.998
Pippa,0.981
prescription,0.991
unless,0.991
As,0.998
required,0.996
Address:,0.993
Clayton,0.755
identifiers,0.923
present,0.993
PRN,0.993
6/15/95,0.943
medications,0.991
Date,0.995
of,0.996
birth:,0.996
Sex:,0.988
OM,0.962
VF,0.619
First,0.997
prescriber,0.994
to,0.998
print,0.997
patient,0.996
name,0.991
Year:,0.998
20,0.998
and,0.998
check,0.998
label,0.998
correct:,0.952
Datę,0.669
Medicine,0.996
(print,0.997
generic,0.997
name),0.998
-,0.716
2/1/21,0.955
Othera,0.328
Date,0.989
Yes,0.989
/,0.991
No,0.998
Route,0.994
Dose,0.994
Hourly,0.997
frequency,0.995
Max,0.998
PRN,0.998
dose/24,0.997
hrs,0.998
TO,0.477
2,0.995
Puffs,0.645
Time,0.989
12/14,0.694
PRN,0.991
0000,0.899
days,0.997
Qty:,0.979
Indication,0.938
Assist,0.897
/,0.1
Aids,0.695
Pharmacy,0.994
Dose,0.992
Natural,0.774
Channels,0.737
of,0.956
lemination,0.665
Route,0.992
-10,0.132
Pups,0.151
Prescriber,0.992
signature,0.995
Print,0.997
your,0.989
name,0.991
Contact,0.997
Sign,0.989
FD,0.743
raveen,0.779
Kaur,0.908
Date:,0.996
Duration:,0.994
Dispense?,0.991
Continue,0.991
on,0.998
discharge?,0.995
Yes,0.998
/,0.995
No,0.998
Date,0.982
Medicine,0.996
(print,0.991
generic,0.997
name),0.998
Date,0.998
Yes,0.998
/,0.996
No,0.997
Route,0.997
Dose,0.993
Hourly,0.997
frequency,0.994
Max,0.994
PRN,0.998
dose/24,0.997
hrs,0.998
PRN,0.994
Time,0.993
days,0.997
Qty,0.969
Indication,0.939
Pharmacy,0.996
Dose,0.984
Route,0.994
DO,0.998
NOT,0.998
WRITE,0.997
IN,0.998
THIS,0.991
BINDING,0.993
MARGIN,0.995
Prescriber,0.992
signature,0.995
Print,0.963
your,0.991
name,0.989
Contact,0.995
Sign,0.989
Continue,0.95
on,0.998
discharge?,0.991
Yes,0.997
/,0.995
No,0.998
Dispense?,0.994
Duration,0.995
:..,0.652
Date,0.979
Medicine,0.995
(print,0.997
generic,0.996
name),0.998
Date,0.994
Yes,0.998
/,0.996
No,0.998
Route,0.998
Dose,0.993
Hourly,0.997
frequency,0.995
Max,0.998
PRN,0.998
dose/24,0.997
hrs,0.998
Pharmacist:,0.993
PRN,0.966
Time,0.992
days,0.994
Qty:,0.991
Indication,0.958
Pharmacy,0.994
Dose,0.994
Route,0.998
Prescriber,0.994
signature,0.996
Print,0.994
your,0.989
name,0.989
Contact,0.994
Sign,0.989
Duration:,0.983
Dispense?,0.991
Continue,0.995
on,0.998
discharge?,0.992
Yes,0.998
/,0.995
No,0.998
Date,0.998
Medicine,0.994
(print,0.991
generic,0.997
name),0.998
Date:,0.996
Date,0.994
Yes,0.991
/,0.995
No,0.998
Route,0.998
Dose,0.992
Hourly,0.997
frequency,0.994
Max,0.998
PRN,0.998
dose/24,0.997
hrs,0.998
Time,0.988
PRN,0.998
days,0.991
Qty:,0.971
Indication,0.912
Pharmacy,0.996
Dose,0.981
Route,0.998
Prescriber,0.994
signature,0.995
Print,0.997
your,0.989
name,0.989
Contact,0.997
Sign,0.989
Duration:,0.991
Dispense?,0.991
Continue,0.995
on,0.998
discharge?,0.993
Yes,0.998
/,0.995
No,0.998
Date,0.98
Medicine,0.994
(print,0.993
generic,0.996
name),0.998
Date,0.995
Yes,0.998
/,0.996
No,0.998
Route,0.994
Dose,0.982
Hourly,0.997
frequency,0.995
Max,0.998
PRN,0.998
dose/24,0.994
hrs,0.998
Time,0.989
PRN,0.991
.days,0.937
Qty:,0.983
Indication,0.984
Pharmacy,0.994
Dose,0.991
Route,0.981
Prescriber,0.994
signature,0.995
Print,0.997
your,0.991
name,0.989
Contact,0.996
Sign,0.989
Print,0.997
your,0.989
name:,0.996
Duration,0.994
:..,0.446
Continue,0.995
on,0.998
discharge?,0.991
Yes,0.998
/,0.995
No,0.998
Dispense?,0.991
Date,0.989
Medicine,0.996
(print,0.997
generic,0.997
name),0.998
Date,0.992
Yes,0.991
/,0.996
No,0.997
Route,0.994
Dose,0.997
Hourly,0.997
frequency,0.995
Max,0.994
PRN,0.998
dose/24,0.997
hrs,0.998
Time,0.988
PRN,0.997
days,0.991
Qty,0.955
Indication,0.941
Pharmacy,0.994
Dose,0.992
Route,0.998
Prescriber,0.993
signature,0.995
Print,0.997
your,0.989
name,0.989
Contact,0.996
Sign,0.989
Duration:,0.991
Dispense?,0.982
Continue,0.994
on,0.998
discharge?,0.991
Yes,0.997
/,0.995
No,0.997
Date,0.989
Medicine,0.996
(print,0.993
generic,0.997
name),0.998
Date,0.997
Yes,0.998
/,0.996
No,0.998
Route,0.993
Dose,0.998
Hourly,0.997
frequency,0.995
Max,0.995
PRN,0.998
dose/24,0.997
hrs,0.998
Time,0.989
PRN,0.994
days,0.996
Qty:,0.982
Indication,0.939
Pharmacy,0.995
Dose,0.994
Route,0.998
Prescriber,0.994
signature,0.995
Print,0.994
your,0.991
name,0.989
Contact,0.994
Sigr,0.96
Prescriber's,0.941
signature:,0.991
uration:,0.981
ontinue,0.995
on,0.998
discharge?,0.992
Yes,0.998
/,0.995
No,0.997
ispense?,0.994
